index,node,level,parents,params,res_gdw_id,res_inflow_flag,res_outflow_flag,res_within_flag
292,420551952,0,,197000.0;604.0;0.44;1.45
293,420551345,0,,99000.0;234.0;0.43;1.68
294,420550317,0,,223000.0;443.0;0.43;1.41
295,420550518,0,,276000.0;772.0;0.43;1.4
296,420550921,0,,164000.0;375.0;0.43;1.47
297,420549717,0,,236000.0;630.0;0.43;1.39
298,420549716,0,,151000.0;468.0;0.43;1.45
299,420551348,0,,132000.0;259.0;0.47;1.53
300,420550726,0,,223000.0;395.0;0.49;1.42
301,420552810,0,,164000.0;375.0;0.45;1.45
302,420551532,0,,407000.0;959.0;0.45;1.15
303,420552148,0,,99000.0;419.0;0.45;1.68
304,420551953,0,,145000.0;350.0;0.45;1.47
305,420549912,0,,446000.0;1329.0;0.45;1.15
306,420552149,0,,40000.0;210.0;0.45;1.72
307,420551730,0,,158000.0;326.0;0.44;1.46
308,420551147,0,,73000.0;188.0;0.43;1.69
309,420550519,0,,177000.0;535.0;0.44;1.4
310,420549911,0,,79000.0;304.0;0.44;1.63
311,420549719,0,,269000.0;633.0;0.44;1.37
312,420549141,0,,236000.0;696.0;0.45;1.38
313,420548923,0,,276000.0;679.0;0.44;1.37
314,420548924,0,,112000.0;142.0;0.44;1.61
315,420548715,0,,158000.0;397.0;0.45;1.42
316,420548486,0,,99000.0;188.0;0.45;1.63
317,420548488,0,,223000.0;350.0;0.45;1.42
318,420550318,0,,99000.0;188.0;0.49;1.64
319,420550102,0,,230000.0;375.0;0.47;1.39
320,420549915,0,,112000.0;446.0;0.49;1.61
321,420549345,0,,289000.0;770.0;0.49;1.23
322,420549342,0,,184000.0;446.0;0.47;1.4
323,420549343,0,,92000.0;304.0;0.47;1.63
324,420549143,0,,86000.0;329.0;0.49;1.65
325,420548926,0,,125000.0;188.0;0.46;1.52
326,420549344,0,,20000.0;117.0;0.48;1.68
327,420548928,0,,79000.0;326.0;0.47;1.64
328,420548925,0,,46000.0;117.0;0.46;1.69
329,420548067,0,,33000.0;93.0;0.47;1.69
330,420547874,0,,33000.0;93.0;0.46;1.7
331,420549139,0,,171000.0;446.0;0.44;1.39
332,420549340,0,,118000.0;234.0;0.44;1.54
333,420548265,0,,145000.0;397.0;0.44;1.44
334,420549140,0,,92000.0;234.0;0.44;1.62
335,420548713,0,,112000.0;213.0;0.44;1.61
336,420547030,0,,282000.0;443.0;0.45;1.26
337,420545989,0,,289000.0;744.0;0.45;1.2
338,420546625,0,,204000.0;421.0;0.44;1.4
339,420545827,0,,243000.0;792.0;0.45;1.39
340,420544966,0,,243000.0;421.0;0.45;1.41
341,420545826,0,,46000.0;117.0;0.45;1.68
342,420544965,0,,197000.0;513.0;0.44;1.4
343,420544537,0,,105000.0;329.0;0.45;1.63
344,420544169,0,,125000.0;443.0;0.45;1.52
